Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0         172.20.30.1     YES manual up                    up      
GigabitEthernet0/1         172.20.30.4     YES manual up                    up      
GigabitEthernet0/2         172.20.30.6     YES manual up                    up      
GigabitEthernet0/3         172.20.30.8     YES manual administratively down down    
GigabitEthernet0/4         172.20.30.10    YES manual up                    up      
GigabitEthernet0/5         172.20.30.20    YES manual up                    up      
GigabitEthernet0/6         unassigned      YES unset  administratively down down    
GigabitEthernet0/7         unassigned      YES unset  administratively down down    
GigabitEthernet0/8         unassigned      YES unset  administratively down down    
GigabitEthernet0/9         unassigned      YES unset  administratively down down    
GigabitEthernet0/10        unassigned      YES unset  administratively down down    
GigabitEthernet0/11        unassigned      YES unset  administratively down down    
GigabitEthernet0/12        unassigned      YES unset  administratively down down    
GigabitEthernet0/13        unassigned      YES unset  administratively down down    
GigabitEthernet0/14        unassigned      YES unset  administratively down down    
GigabitEthernet0/15        172.16.80.32    YES manual up                    up      
Loopback0                  10.199.1.32     YES manual up                    up

